year,state,w_county,w_county_name,h_county,h_county_name,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03
2019,IL,17001,"Adams County, Illinois",17001,"Adams County, Illinois",22947,5070,11589,6288,5619,8200,9128,4579,4171,14197
2019,IL,17001,"Adams County, Illinois",17003,"Alexander County, Illinois",5,1,3,1,1,2,2,0,2,3
2019,IL,17001,"Adams County, Illinois",17005,"Bond County, Illinois",16,5,4,7,7,4,5,0,5,11
2019,IL,17001,"Adams County, Illinois",17007,"Boone County, Illinois",4,1,2,1,2,1,1,0,4,0
2019,IL,17001,"Adams County, Illinois",17009,"Brown County, Illinois",269,73,121,75,83,95,91,27,53,189
2019,IL,17001,"Adams County, Illinois",17011,"Bureau County, Illinois",13,4,7,2,1,8,4,1,6,6
2019,IL,17001,"Adams County, Illinois",17013,"Calhoun County, Illinois",12,2,7,3,3,6,3,0,4,8
2019,IL,17001,"Adams County, Illinois",17015,"Carroll County, Illinois",10,4,6,0,2,5,3,0,5,5
2019,IL,17001,"Adams County, Illinois",17017,"Cass County, Illinois",59,11,32,16,12,27,20,15,10,34
2019,IL,17001,"Adams County, Illinois",17019,"Champaign County, Illinois",86,22,46,18,31,23,32,6,35,45
2019,IL,17001,"Adams County, Illinois",17021,"Christian County, Illinois",45,11,19,15,12,19,14,1,22,22
2019,IL,17001,"Adams County, Illinois",17023,"Clark County, Illinois",7,0,6,1,1,0,6,0,2,5
2019,IL,17001,"Adams County, Illinois",17025,"Clay County, Illinois",4,2,1,1,0,1,3,0,1,3
2019,IL,17001,"Adams County, Illinois",17027,"Clinton County, Illinois",13,4,8,1,4,6,3,0,7,6
2019,IL,17001,"Adams County, Illinois",17029,"Coles County, Illinois",28,6,17,5,5,17,6,2,18,8
2019,IL,17001,"Adams County, Illinois",17031,"Cook County, Illinois",133,35,64,34,37,28,68,17,36,80
2019,IL,17001,"Adams County, Illinois",17033,"Crawford County, Illinois",4,2,2,0,2,1,1,0,2,2
2019,IL,17001,"Adams County, Illinois",17035,"Cumberland County, Illinois",6,1,4,1,2,3,1,0,3,3
2019,IL,17001,"Adams County, Illinois",17037,"DeKalb County, Illinois",19,3,5,11,7,6,6,3,7,9
2019,IL,17001,"Adams County, Illinois",17039,"De Witt County, Illinois",15,7,4,4,7,4,4,1,6,8
2019,IL,17001,"Adams County, Illinois",17041,"Douglas County, Illinois",11,1,5,5,6,4,1,0,5,6
2019,IL,17001,"Adams County, Illinois",17043,"DuPage County, Illinois",54,14,28,12,11,9,34,10,11,33
2019,IL,17001,"Adams County, Illinois",17045,"Edgar County, Illinois",7,1,5,1,2,2,3,1,3,3
2019,IL,17001,"Adams County, Illinois",17047,"Edwards County, Illinois",6,3,2,1,0,4,2,0,4,2
2019,IL,17001,"Adams County, Illinois",17049,"Effingham County, Illinois",27,7,13,7,14,6,7,0,10,17
2019,IL,17001,"Adams County, Illinois",17051,"Fayette County, Illinois",22,3,14,5,10,7,5,1,11,10
2019,IL,17001,"Adams County, Illinois",17053,"Ford County, Illinois",7,2,3,2,2,1,4,1,2,4
2019,IL,17001,"Adams County, Illinois",17055,"Franklin County, Illinois",16,4,10,2,2,10,4,1,7,8
2019,IL,17001,"Adams County, Illinois",17057,"Fulton County, Illinois",255,73,112,70,83,84,88,36,88,131
2019,IL,17001,"Adams County, Illinois",17059,"Gallatin County, Illinois",1,0,0,1,0,0,1,0,0,1
2019,IL,17001,"Adams County, Illinois",17061,"Greene County, Illinois",53,12,32,9,17,21,15,2,21,30
2019,IL,17001,"Adams County, Illinois",17063,"Grundy County, Illinois",1,1,0,0,0,0,1,1,0,0
2019,IL,17001,"Adams County, Illinois",17065,"Hamilton County, Illinois",6,3,2,1,1,2,3,0,3,3
2019,IL,17001,"Adams County, Illinois",17067,"Hancock County, Illinois",558,117,289,152,83,210,265,201,168,189
2019,IL,17001,"Adams County, Illinois",17069,"Hardin County, Illinois",2,1,1,0,1,0,1,0,1,1
2019,IL,17001,"Adams County, Illinois",17071,"Henderson County, Illinois",34,9,15,10,10,10,14,1,15,18
2019,IL,17001,"Adams County, Illinois",17073,"Henry County, Illinois",36,10,9,17,10,14,12,2,22,12
2019,IL,17001,"Adams County, Illinois",17075,"Iroquois County, Illinois",14,3,7,4,5,4,5,2,4,8
2019,IL,17001,"Adams County, Illinois",17077,"Jackson County, Illinois",20,5,9,6,2,3,15,1,6,13
2019,IL,17001,"Adams County, Illinois",17079,"Jasper County, Illinois",4,1,2,1,1,1,2,0,3,1
2019,IL,17001,"Adams County, Illinois",17081,"Jefferson County, Illinois",21,4,12,5,3,7,11,2,6,13
2019,IL,17001,"Adams County, Illinois",17083,"Jersey County, Illinois",8,3,4,1,4,3,1,0,5,3
2019,IL,17001,"Adams County, Illinois",17085,"Jo Daviess County, Illinois",7,3,4,0,2,4,1,0,5,2
2019,IL,17001,"Adams County, Illinois",17087,"Johnson County, Illinois",4,0,2,2,0,0,4,0,1,3
2019,IL,17001,"Adams County, Illinois",17089,"Kane County, Illinois",45,7,26,12,7,11,27,6,12,27
2019,IL,17001,"Adams County, Illinois",17091,"Kankakee County, Illinois",46,17,24,5,15,13,18,4,24,18
2019,IL,17001,"Adams County, Illinois",17093,"Kendall County, Illinois",15,2,6,7,2,3,10,2,4,9
2019,IL,17001,"Adams County, Illinois",17095,"Knox County, Illinois",31,6,14,11,8,6,17,4,10,17
2019,IL,17001,"Adams County, Illinois",17097,"Lake County, Illinois",10,6,1,3,6,2,2,0,2,8
2019,IL,17001,"Adams County, Illinois",17099,"LaSalle County, Illinois",49,11,19,19,13,9,27,4,18,27
2019,IL,17001,"Adams County, Illinois",17101,"Lawrence County, Illinois",4,1,2,1,1,0,3,0,2,2
2019,IL,17001,"Adams County, Illinois",17103,"Lee County, Illinois",7,4,1,2,4,1,2,1,5,1
2019,IL,17001,"Adams County, Illinois",17105,"Livingston County, Illinois",16,6,7,3,6,3,7,2,6,8
2019,IL,17001,"Adams County, Illinois",17107,"Logan County, Illinois",26,9,12,5,10,10,6,1,9,16
2019,IL,17001,"Adams County, Illinois",17109,"McDonough County, Illinois",335,116,149,70,119,109,107,32,119,184
2019,IL,17001,"Adams County, Illinois",17111,"McHenry County, Illinois",28,4,15,9,3,9,16,6,6,16
2019,IL,17001,"Adams County, Illinois",17113,"McLean County, Illinois",104,36,50,18,52,28,24,7,43,54
2019,IL,17001,"Adams County, Illinois",17115,"Macon County, Illinois",144,57,58,29,55,51,38,3,55,86
2019,IL,17001,"Adams County, Illinois",17117,"Macoupin County, Illinois",155,28,87,40,32,64,59,14,52,89
2019,IL,17001,"Adams County, Illinois",17119,"Madison County, Illinois",105,42,41,22,42,31,32,8,48,49
2019,IL,17001,"Adams County, Illinois",17121,"Marion County, Illinois",16,3,11,2,4,4,8,2,4,10
2019,IL,17001,"Adams County, Illinois",17123,"Marshall County, Illinois",5,2,3,0,3,1,1,0,3,2
2019,IL,17001,"Adams County, Illinois",17125,"Mason County, Illinois",83,24,37,22,25,28,30,12,35,36
2019,IL,17001,"Adams County, Illinois",17127,"Massac County, Illinois",7,3,3,1,1,1,5,0,3,4
2019,IL,17001,"Adams County, Illinois",17129,"Menard County, Illinois",5,0,3,2,1,3,1,0,3,2
2019,IL,17001,"Adams County, Illinois",17131,"Mercer County, Illinois",12,1,5,6,2,3,7,0,9,3
2019,IL,17001,"Adams County, Illinois",17133,"Monroe County, Illinois",10,3,3,4,5,2,3,0,5,5
2019,IL,17001,"Adams County, Illinois",17135,"Montgomery County, Illinois",21,3,11,7,5,9,7,0,7,14
2019,IL,17001,"Adams County, Illinois",17137,"Morgan County, Illinois",104,23,46,35,22,48,34,5,35,64
2019,IL,17001,"Adams County, Illinois",17139,"Moultrie County, Illinois",13,2,6,5,4,5,4,0,4,9
2019,IL,17001,"Adams County, Illinois",17141,"Ogle County, Illinois",8,3,2,3,2,3,3,0,7,1
2019,IL,17001,"Adams County, Illinois",17143,"Peoria County, Illinois",133,44,59,30,50,39,44,10,69,54
2019,IL,17001,"Adams County, Illinois",17145,"Perry County, Illinois",11,2,6,3,1,3,7,1,2,8
2019,IL,17001,"Adams County, Illinois",17147,"Piatt County, Illinois",22,7,10,5,5,7,10,1,8,13
2019,IL,17001,"Adams County, Illinois",17149,"Pike County, Illinois",787,172,406,209,171,259,357,201,156,430
2019,IL,17001,"Adams County, Illinois",17155,"Putnam County, Illinois",2,0,1,1,0,0,2,0,2,0
2019,IL,17001,"Adams County, Illinois",17157,"Randolph County, Illinois",15,5,4,6,0,5,10,2,5,8
2019,IL,17001,"Adams County, Illinois",17159,"Richland County, Illinois",8,3,4,1,4,1,3,0,5,3
2019,IL,17001,"Adams County, Illinois",17161,"Rock Island County, Illinois",121,43,46,32,54,32,35,11,67,43
2019,IL,17001,"Adams County, Illinois",17163,"St. Clair County, Illinois",131,53,53,25,48,42,41,6,63,62
2019,IL,17001,"Adams County, Illinois",17165,"Saline County, Illinois",11,1,7,3,3,1,7,0,4,7
2019,IL,17001,"Adams County, Illinois",17167,"Sangamon County, Illinois",227,60,119,48,68,75,84,7,86,134
2019,IL,17001,"Adams County, Illinois",17169,"Schuyler County, Illinois",154,35,78,41,51,48,55,17,52,85
2019,IL,17001,"Adams County, Illinois",17171,"Scott County, Illinois",21,4,9,8,3,10,8,1,11,9
2019,IL,17001,"Adams County, Illinois",17173,"Shelby County, Illinois",22,6,10,6,12,4,6,0,11,11
2019,IL,17001,"Adams County, Illinois",17175,"Stark County, Illinois",4,3,0,1,3,0,1,0,3,1
2019,IL,17001,"Adams County, Illinois",17177,"Stephenson County, Illinois",7,1,4,2,2,1,4,0,3,4
2019,IL,17001,"Adams County, Illinois",17179,"Tazewell County, Illinois",80,27,29,24,24,34,22,7,42,31
2019,IL,17001,"Adams County, Illinois",17181,"Union County, Illinois",6,1,5,0,0,2,4,0,2,4
2019,IL,17001,"Adams County, Illinois",17183,"Vermilion County, Illinois",35,5,17,13,8,7,20,2,13,20
2019,IL,17001,"Adams County, Illinois",17185,"Wabash County, Illinois",2,0,1,1,0,0,2,0,0,2
2019,IL,17001,"Adams County, Illinois",17187,"Warren County, Illinois",157,45,71,41,52,50,55,19,57,81
2019,IL,17001,"Adams County, Illinois",17189,"Washington County, Illinois",6,1,5,0,1,2,3,0,1,5
2019,IL,17001,"Adams County, Illinois",17191,"Wayne County, Illinois",9,2,5,2,0,3,6,0,2,7
2019,IL,17001,"Adams County, Illinois",17193,"White County, Illinois",5,2,2,1,2,2,1,0,3,2
2019,IL,17001,"Adams County, Illinois",17195,"Whiteside County, Illinois",21,5,8,8,8,7,6,0,15,6
2019,IL,17001,"Adams County, Illinois",17197,"Will County, Illinois",64,20,35,9,27,9,28,15,31,18
2019,IL,17001,"Adams County, Illinois",17199,"Williamson County, Illinois",28,6,15,7,4,12,12,1,13,14
2019,IL,17001,"Adams County, Illinois",17201,"Winnebago County, Illinois",52,15,25,12,16,21,15,3,27,22
2019,IL,17001,"Adams County, Illinois",17203,"Woodford County, Illinois",23,7,11,5,5,8,10,2,13,8
2019,IL,17003,"Alexander County, Illinois",17003,"Alexander County, Illinois",422,66,202,154,147,169,106,58,80,284
2019,IL,17003,"Alexander County, Illinois",17015,"Carroll County, Illinois",1,0,1,0,0,0,1,1,0,0
2019,IL,17003,"Alexander County, Illinois",17019,"Champaign County, Illinois",1,0,0,1,0,0,1,1,0,0
2019,IL,17003,"Alexander County, Illinois",17023,"Clark County, Illinois",1,0,1,0,0,1,0,1,0,0
2019,IL,17003,"Alexander County, Illinois",17027,"Clinton County, Illinois",1,0,0,1,0,1,0,0,0,1
2019,IL,17003,"Alexander County, Illinois",17031,"Cook County, Illinois",2,0,1,1,0,1,1,0,2,0
2019,IL,17003,"Alexander County, Illinois",17045,"Edgar County, Illinois",1,0,0,1,0,1,0,1,0,0
2019,IL,17003,"Alexander County, Illinois",17055,"Franklin County, Illinois",13,2,7,4,6,3,4,0,2,11
2019,IL,17003,"Alexander County, Illinois",17057,"Fulton County, Illinois",1,0,0,1,0,0,1,1,0,0
2019,IL,17003,"Alexander County, Illinois",17059,"Gallatin County, Illinois",6,3,0,3,0,2,4,5,0,1
2019,IL,17003,"Alexander County, Illinois",17065,"Hamilton County, Illinois",1,0,1,0,0,0,1,0,1,0
2019,IL,17003,"Alexander County, Illinois",17069,"Hardin County, Illinois",1,1,0,0,1,0,0,1,0,0
2019,IL,17003,"Alexander County, Illinois",17077,"Jackson County, Illinois",10,1,8,1,2,4,4,2,1,7
2019,IL,17003,"Alexander County, Illinois",17081,"Jefferson County, Illinois",1,0,1,0,0,0,1,0,0,1
2019,IL,17003,"Alexander County, Illinois",17087,"Johnson County, Illinois",10,5,3,2,3,4,3,1,6,3
2019,IL,17003,"Alexander County, Illinois",17109,"McDonough County, Illinois",1,0,1,0,0,0,1,1,0,0
2019,IL,17003,"Alexander County, Illinois",17117,"Macoupin County, Illinois",2,0,0,2,0,1,1,0,1,1
2019,IL,17003,"Alexander County, Illinois",17119,"Madison County, Illinois",2,0,0,2,0,1,1,0,1,1
2019,IL,17003,"Alexander County, Illinois",17121,"Marion County, Illinois",1,0,1,0,1,0,0,1,0,0
2019,IL,17003,"Alexander County, Illinois",17127,"Massac County, Illinois",23,5,12,6,2,9,12,1,5,17
2019,IL,17003,"Alexander County, Illinois",17131,"Mercer County, Illinois",1,0,1,0,0,0,1,1,0,0
2019,IL,17003,"Alexander County, Illinois",17145,"Perry County, Illinois",3,0,2,1,0,1,2,0,0,3
2019,IL,17003,"Alexander County, Illinois",17151,"Pope County, Illinois",1,0,1,0,1,0,0,0,0,1
2019,IL,17003,"Alexander County, Illinois",17153,"Pulaski County, Illinois",151,28,73,50,32,55,64,38,37,76
2019,IL,17003,"Alexander County, Illinois",17161,"Rock Island County, Illinois",1,0,1,0,0,0,1,1,0,0
2019,IL,17003,"Alexander County, Illinois",17163,"St. Clair County, Illinois",3,1,0,2,2,1,0,0,2,1
2019,IL,17003,"Alexander County, Illinois",17165,"Saline County, Illinois",8,4,3,1,5,1,2,2,1,5
2019,IL,17003,"Alexander County, Illinois",17167,"Sangamon County, Illinois",1,1,0,0,0,0,1,1,0,0
2019,IL,17003,"Alexander County, Illinois",17181,"Union County, Illinois",106,13,73,20,13,30,63,34,24,48
2019,IL,17003,"Alexander County, Illinois",17189,"Washington County, Illinois",2,1,1,0,1,0,1,1,0,1
2019,IL,17003,"Alexander County, Illinois",17193,"White County, Illinois",2,1,1,0,0,1,1,0,1,1
2019,IL,17003,"Alexander County, Illinois",17195,"Whiteside County, Illinois",1,0,1,0,0,0,1,1,0,0
2019,IL,17003,"Alexander County, Illinois",17199,"Williamson County, Illinois",15,5,9,1,5,3,7,3,1,11
2019,IL,17005,"Bond County, Illinois",17001,"Adams County, Illinois",4,1,1,2,1,3,0,0,0,4
2019,IL,17005,"Bond County, Illinois",17005,"Bond County, Illinois",2241,505,1055,681,641,828,772,534,436,1271
2019,IL,17005,"Bond County, Illinois",17007,"Boone County, Illinois",1,1,0,0,0,1,0,0,1,0
2019,IL,17005,"Bond County, Illinois",17013,"Calhoun County, Illinois",1,0,0,1,0,0,1,0,1,0
2019,IL,17005,"Bond County, Illinois",17015,"Carroll County, Illinois",2,0,1,1,1,1,0,0,0,2
2019,IL,17005,"Bond County, Illinois",17017,"Cass County, Illinois",5,2,3,0,1,3,1,1,1,3
2019,IL,17005,"Bond County, Illinois",17019,"Champaign County, Illinois",7,3,2,2,2,3,2,2,1,4
2019,IL,17005,"Bond County, Illinois",17021,"Christian County, Illinois",8,4,3,1,5,3,0,0,5,3
2019,IL,17005,"Bond County, Illinois",17023,"Clark County, Illinois",7,5,2,0,3,4,0,0,3,4
2019,IL,17005,"Bond County, Illinois",17025,"Clay County, Illinois",1,1,0,0,1,0,0,0,0,1
2019,IL,17005,"Bond County, Illinois",17027,"Clinton County, Illinois",317,49,190,78,44,66,207,119,80,118
2019,IL,17005,"Bond County, Illinois",17029,"Coles County, Illinois",9,7,1,1,7,2,0,0,4,5
2019,IL,17005,"Bond County, Illinois",17031,"Cook County, Illinois",37,14,11,12,7,4,26,26,3,8
2019,IL,17005,"Bond County, Illinois",17033,"Crawford County, Illinois",3,2,0,1,1,2,0,0,1,2
2019,IL,17005,"Bond County, Illinois",17035,"Cumberland County, Illinois",5,1,4,0,0,3,2,0,3,2
2019,IL,17005,"Bond County, Illinois",17037,"DeKalb County, Illinois",3,2,1,0,1,1,1,0,2,1
2019,IL,17005,"Bond County, Illinois",17039,"De Witt County, Illinois",8,5,1,2,4,2,2,0,2,6
2019,IL,17005,"Bond County, Illinois",17041,"Douglas County, Illinois",4,3,1,0,3,1,0,0,2,2
2019,IL,17005,"Bond County, Illinois",17043,"DuPage County, Illinois",8,0,8,0,0,1,7,7,0,1
2019,IL,17005,"Bond County, Illinois",17045,"Edgar County, Illinois",3,2,1,0,2,1,0,0,1,2
2019,IL,17005,"Bond County, Illinois",17047,"Edwards County, Illinois",1,0,1,0,1,0,0,0,1,0
2019,IL,17005,"Bond County, Illinois",17049,"Effingham County, Illinois",40,7,25,8,12,5,23,2,24,14
2019,IL,17005,"Bond County, Illinois",17051,"Fayette County, Illinois",302,54,148,100,54,100,148,100,70,132
2019,IL,17005,"Bond County, Illinois",17055,"Franklin County, Illinois",15,9,4,2,11,3,1,0,2,13
2019,IL,17005,"Bond County, Illinois",17057,"Fulton County, Illinois",1,0,1,0,0,0,1,0,0,1
2019,IL,17005,"Bond County, Illinois",17059,"Gallatin County, Illinois",3,2,1,0,2,1,0,0,1,2
2019,IL,17005,"Bond County, Illinois",17061,"Greene County, Illinois",5,2,2,1,0,5,0,0,4,1
2019,IL,17005,"Bond County, Illinois",17065,"Hamilton County, Illinois",1,0,0,1,0,0,1,0,0,1
2019,IL,17005,"Bond County, Illinois",17067,"Hancock County, Illinois",2,1,1,0,1,0,1,1,0,1
2019,IL,17005,"Bond County, Illinois",17073,"Henry County, Illinois",4,1,1,2,2,1,1,0,0,4
2019,IL,17005,"Bond County, Illinois",17075,"Iroquois County, Illinois",2,1,0,1,1,0,1,1,0,1
2019,IL,17005,"Bond County, Illinois",17077,"Jackson County, Illinois",19,11,5,3,9,4,6,9,4,6
2019,IL,17005,"Bond County, Illinois",17079,"Jasper County, Illinois",3,1,1,1,1,1,1,0,1,2
2019,IL,17005,"Bond County, Illinois",17081,"Jefferson County, Illinois",46,13,24,9,15,26,5,3,11,32
2019,IL,17005,"Bond County, Illinois",17083,"Jersey County, Illinois",21,9,8,4,14,2,5,4,3,14
2019,IL,17005,"Bond County, Illinois",17085,"Jo Daviess County, Illinois",1,1,0,0,1,0,0,0,0,1
2019,IL,17005,"Bond County, Illinois",17087,"Johnson County, Illinois",1,1,0,0,1,0,0,0,0,1
2019,IL,17005,"Bond County, Illinois",17089,"Kane County, Illinois",6,4,1,1,4,1,1,0,1,5
2019,IL,17005,"Bond County, Illinois",17091,"Kankakee County, Illinois",10,4,4,2,2,5,3,3,4,3
2019,IL,17005,"Bond County, Illinois",17093,"Kendall County, Illinois",1,1,0,0,1,0,0,0,0,1
2019,IL,17005,"Bond County, Illinois",17095,"Knox County, Illinois",3,0,2,1,1,2,0,0,1,2
2019,IL,17005,"Bond County, Illinois",17097,"Lake County, Illinois",9,1,7,1,1,1,7,8,0,1
2019,IL,17005,"Bond County, Illinois",17099,"LaSalle County, Illinois",4,2,1,1,1,2,1,0,1,3
2019,IL,17005,"Bond County, Illinois",17101,"Lawrence County, Illinois",11,4,3,4,5,4,2,0,3,8
2019,IL,17005,"Bond County, Illinois",17103,"Lee County, Illinois",2,2,0,0,2,0,0,0,1,1
2019,IL,17005,"Bond County, Illinois",17105,"Livingston County, Illinois",7,3,2,2,2,2,3,1,2,4
2019,IL,17005,"Bond County, Illinois",17107,"Logan County, Illinois",1,0,1,0,1,0,0,0,1,0
2019,IL,17005,"Bond County, Illinois",17109,"McDonough County, Illinois",2,0,1,1,0,1,1,0,0,2
2019,IL,17005,"Bond County, Illinois",17111,"McHenry County, Illinois",5,2,3,0,2,0,3,3,0,2
2019,IL,17005,"Bond County, Illinois",17113,"McLean County, Illinois",5,3,1,1,1,4,0,1,2,2
2019,IL,17005,"Bond County, Illinois",17115,"Macon County, Illinois",8,3,5,0,2,4,2,0,1,7
2019,IL,17005,"Bond County, Illinois",17117,"Macoupin County, Illinois",52,12,25,15,15,19,18,15,18,19
2019,IL,17005,"Bond County, Illinois",17119,"Madison County, Illinois",574,140,307,127,131,144,299,144,135,295
2019,IL,17005,"Bond County, Illinois",17121,"Marion County, Illinois",41,20,14,7,21,10,10,7,15,19
2019,IL,17005,"Bond County, Illinois",17123,"Marshall County, Illinois",1,1,0,0,0,1,0,0,0,1
2019,IL,17005,"Bond County, Illinois",17125,"Mason County, Illinois",2,0,2,0,0,1,1,0,1,1
2019,IL,17005,"Bond County, Illinois",17127,"Massac County, Illinois",1,0,0,1,0,1,0,0,1,0
2019,IL,17005,"Bond County, Illinois",17129,"Menard County, Illinois",1,1,0,0,0,1,0,0,1,0
2019,IL,17005,"Bond County, Illinois",17131,"Mercer County, Illinois",1,0,1,0,0,0,1,0,1,0
2019,IL,17005,"Bond County, Illinois",17133,"Monroe County, Illinois",10,2,4,4,2,6,2,4,3,3
2019,IL,17005,"Bond County, Illinois",17135,"Montgomery County, Illinois",241,55,141,45,43,75,123,90,45,106
2019,IL,17005,"Bond County, Illinois",17137,"Morgan County, Illinois",21,8,7,6,8,9,4,0,13,8
2019,IL,17005,"Bond County, Illinois",17139,"Moultrie County, Illinois",3,1,0,2,1,1,1,1,1,1
2019,IL,17005,"Bond County, Illinois",17141,"Ogle County, Illinois",2,1,0,1,1,1,0,0,1,1
2019,IL,17005,"Bond County, Illinois",17143,"Peoria County, Illinois",10,4,3,3,5,2,3,0,3,7
2019,IL,17005,"Bond County, Illinois",17145,"Perry County, Illinois",1,1,0,0,1,0,0,0,1,0
2019,IL,17005,"Bond County, Illinois",17147,"Piatt County, Illinois",6,2,0,4,2,3,1,0,2,4
2019,IL,17005,"Bond County, Illinois",17149,"Pike County, Illinois",2,0,1,1,0,1,1,0,1,1
2019,IL,17005,"Bond County, Illinois",17153,"Pulaski County, Illinois",2,2,0,0,1,1,0,0,1,1
2019,IL,17005,"Bond County, Illinois",17157,"Randolph County, Illinois",44,21,18,5,25,14,5,3,14,27
2019,IL,17005,"Bond County, Illinois",17159,"Richland County, Illinois",3,1,0,2,1,1,1,0,0,3
2019,IL,17005,"Bond County, Illinois",17161,"Rock Island County, Illinois",5,0,2,3,0,4,1,0,0,5
2019,IL,17005,"Bond County, Illinois",17163,"St. Clair County, Illinois",109,40,47,22,50,20,39,27,30,52
2019,IL,17005,"Bond County, Illinois",17165,"Saline County, Illinois",4,2,2,0,3,1,0,0,2,2
2019,IL,17005,"Bond County, Illinois",17167,"Sangamon County, Illinois",16,8,7,1,11,4,1,1,5,10
2019,IL,17005,"Bond County, Illinois",17173,"Shelby County, Illinois",10,4,2,4,6,3,1,1,4,5
2019,IL,17005,"Bond County, Illinois",17177,"Stephenson County, Illinois",2,0,2,0,0,0,2,1,0,1
2019,IL,17005,"Bond County, Illinois",17179,"Tazewell County, Illinois",3,2,1,0,2,1,0,0,2,1
2019,IL,17005,"Bond County, Illinois",17181,"Union County, Illinois",6,2,4,0,2,4,0,5,0,1
2019,IL,17005,"Bond County, Illinois",17183,"Vermilion County, Illinois",4,2,0,2,2,2,0,0,0,4
2019,IL,17005,"Bond County, Illinois",17185,"Wabash County, Illinois",3,2,1,0,2,1,0,0,2,1
2019,IL,17005,"Bond County, Illinois",17187,"Warren County, Illinois",2,0,2,0,0,0,2,0,1,1
2019,IL,17005,"Bond County, Illinois",17189,"Washington County, Illinois",21,0,18,3,4,6,11,9,9,3
2019,IL,17005,"Bond County, Illinois",17191,"Wayne County, Illinois",4,2,1,1,3,1,0,0,2,2
2019,IL,17005,"Bond County, Illinois",17193,"White County, Illinois",3,1,2,0,1,2,0,0,0,3
2019,IL,17005,"Bond County, Illinois",17195,"Whiteside County, Illinois",2,0,1,1,1,0,1,0,2,0
2019,IL,17005,"Bond County, Illinois",17197,"Will County, Illinois",22,2,11,9,3,1,18,15,2,5
2019,IL,17005,"Bond County, Illinois",17199,"Williamson County, Illinois",20,6,11,3,11,3,6,6,6,8
2019,IL,17005,"Bond County, Illinois",17201,"Winnebago County, Illinois",5,2,3,0,2,0,3,1,0,4
2019,IL,17007,"Boone County, Illinois",17001,"Adams County, Illinois",1,0,1,0,0,1,0,0,1,0
2019,IL,17007,"Boone County, Illinois",17005,"Bond County, Illinois",1,1,0,0,0,1,0,0,0,1
2019,IL,17007,"Boone County, Illinois",17007,"Boone County, Illinois",5574,1225,2898,1451,1504,1859,2211,2054,755,2765
2019,IL,17007,"Boone County, Illinois",17011,"Bureau County, Illinois",13,4,4,5,4,5,4,1,8,4
2019,IL,17007,"Boone County, Illinois",17015,"Carroll County, Illinois",12,2,5,5,3,5,4,5,4,3
2019,IL,17007,"Boone County, Illinois",17017,"Cass County, Illinois",2,0,1,1,0,2,0,0,2,0
2019,IL,17007,"Boone County, Illinois",17019,"Champaign County, Illinois",10,2,6,2,1,3,6,3,6,1
2019,IL,17007,"Boone County, Illinois",17021,"Christian County, Illinois",6,1,4,1,1,2,3,1,5,0
2019,IL,17007,"Boone County, Illinois",17023,"Clark County, Illinois",1,0,1,0,0,0,1,0,1,0
2019,IL,17007,"Boone County, Illinois",17025,"Clay County, Illinois",1,0,1,0,1,0,0,0,1,0
2019,IL,17007,"Boone County, Illinois",17027,"Clinton County, Illinois",6,1,3,2,0,5,1,0,6,0
2019,IL,17007,"Boone County, Illinois",17029,"Coles County, Illinois",1,0,0,1,0,1,0,0,1,0
2019,IL,17007,"Boone County, Illinois",17031,"Cook County, Illinois",440,126,236,78,70,144,226,221,121,98
2019,IL,17007,"Boone County, Illinois",17037,"DeKalb County, Illinois",383,77,208,98,65,116,202,190,79,114
2019,IL,17007,"Boone County, Illinois",17039,"De Witt County, Illinois",6,1,4,1,2,1,3,1,4,1
2019,IL,17007,"Boone County, Illinois",17041,"Douglas County, Illinois",1,0,1,0,1,0,0,0,1,0
2019,IL,17007,"Boone County, Illinois",17043,"DuPage County, Illinois",169,31,99,39,23,51,95,96,40,33
2019,IL,17007,"Boone County, Illinois",17045,"Edgar County, Illinois",2,0,2,0,0,1,1,1,1,0
2019,IL,17007,"Boone County, Illinois",17047,"Edwards County, Illinois",1,0,0,1,0,0,1,0,1,0
2019,IL,17007,"Boone County, Illinois",17055,"Franklin County, Illinois",3,0,3,0,0,1,2,3,0,0
2019,IL,17007,"Boone County, Illinois",17057,"Fulton County, Illinois",1,1,0,0,0,1,0,0,0,1
2019,IL,17007,"Boone County, Illinois",17061,"Greene County, Illinois",1,0,0,1,0,1,0,1,0,0
2019,IL,17007,"Boone County, Illinois",17063,"Grundy County, Illinois",12,3,6,3,1,5,6,8,3,1
2019,IL,17007,"Boone County, Illinois",17067,"Hancock County, Illinois",1,0,1,0,0,1,0,0,0,1
2019,IL,17007,"Boone County, Illinois",17071,"Henderson County, Illinois",1,0,0,1,1,0,0,0,0,1
2019,IL,17007,"Boone County, Illinois",17073,"Henry County, Illinois",8,2,4,2,3,4,1,0,5,3
2019,IL,17007,"Boone County, Illinois",17075,"Iroquois County, Illinois",4,1,2,1,2,2,0,0,4,0
2019,IL,17007,"Boone County, Illinois",17081,"Jefferson County, Illinois",1,0,0,1,0,0,1,0,1,0
2019,IL,17007,"Boone County, Illinois",17083,"Jersey County, Illinois",2,2,0,0,1,1,0,0,2,0
2019,IL,17007,"Boone County, Illinois",17085,"Jo Daviess County, Illinois",19,4,12,3,5,2,12,8,9,2
2019,IL,17007,"Boone County, Illinois",17089,"Kane County, Illinois",291,47,175,69,35,67,189,149,54,88
